,cleaned_text
580,mani banget mbak gigi masya allah hamil bersinar
581,mama gigi gapernah ga cantik sih kalo
582,semoga sehat bayi kandungan nya ibunya ya
583,cantik banget semoga sehat kakak panutan
584,masyaallah mempesona kaum adam kaum hawa
585,gak orang bangun tidur siang secantik ka yaya
586,tua muda yehh mukanya cantik bngett mo nangiss ampun cantik ka yaya
587,gapaham cakeup nya natur masyaallah
588,raisa mah tipe cantik sopan santun pakaiannya
589,ka yayaaa whi are you alway stun pretti girl
590,ya allah ni orang peri cantik amatt
591,cantik banget heran samp kanan kiri dll tetep aja cantik
592,berhenti cakep ga kakk pusingggg ih
593,cantik bajunya keren warnanya bikin pangl
594,dongggg like congratul
595,udaaaahh nontonnnnn lagunya bajunya makeup hairdo nyaaa sukaakkkk
596,raisa ngak monoton suka deh kek gini
597,udah ngunyah aja cute banget
598,penyihir secantik gue rela dikutuk tokek laut
599,ya ampun kak makan sih cantik banget
600,ya allah kek anak yg msh batita klo lg ngambek manyunnya geme hahaha
601,udah sumpah bagu banget serasa liat cerita disney gitu
602,lu gak sopan mukak lu kayak babi
603,ya allah sempurna sih ciptaanmu yg in
604,ragu aja cantiknya udh kek gini gmn kl yak cantiknya kek heran
605,keliatan ragu keliatan cantik
606,warna bikin raisa shin merah hitam putih pink and emerald
607,raisa pake baju merah sumpahh cantik bgttt
608,liriknya pendek tp susah hafal pa puter kali eh candu banget
609,kak yaya gk ngeraguin pendengar lagu nya
610,ka yaya kalo ragu tetep secantik yah
611,ragu aja cantik kak seriu
612,ngga alay ngga muluk muluk natur sukaaaa
613,seru bgt gemoy tim berkebun plu tim alam bgt niiii
614,nikmatnya menghirup oksigen beba ya
615,slide mukanya gaya aja tetep cantikk
616,mba isyana foto gelap an gini aja aesthet bgt ya
617,mba isyana udah cantik suaranya bagu kompeten ah sukaaaa
618,ga taulah suka banget gayanya isyan
619,kangen nonton konser isyan lgsg msh virtual experi nya aja gitu
620,congrat ka isyanasarasvati berkarya suks mnjd inpirasi
621,congrat kak pant mendapatkannya
622,berharap kak isyanasarasvati umur inspirasi musisi indonesia suka musik indonesia kak isyana
623,udah cantik rada gesrek ya kelebihannya semangat produktif
624,gatau serasa nonton wtf beneran jkt virtual and thankyouu for the perform kak syan keren pecah mengecewakan
625,ga lihat ka isyana live beneran panggung tp terpesona bgt ama live virtual asli keren
626,yash we the fest even virtual tetep keren bgt kak syann huaaa energi nya dpt bgt
627,keren banget sebentar mantap abi ditunggu karya ya kak stay safe and healthi isyana ku
628,makaseh jugaa kakaaa inyeeuuuu semoga pantang menyerah kakak teman musisi yaaa
629,thank you syan seneng banget kemarin haha semoga pandemi rencana dilancarkan ya syan
630,hua seneng bgt kmrn menitan tp seneng liat isyan adaptasi kebiasaan baruku semoga teratur maemnya ditunggu karya kaka
631,senang indonesia musisi ideali berkualita yg berkarya diapresiasi orang
632,berharap menghadirkan musisi dgn genr dr yg industri biar musik indonesia berwarna
633,congrat kak isyan semoga impian impian baiknya terwujud aamiin
634,bener bener idola dr musisi dipandang sebelah mata samp label musik congrat syan
635,congrat kak isyan semoga karya nya yg kakak suks teruss
636,orang stre gila
637,gua kalai tuhan gaakan gua jadiin manusia pant ga hidup orang dunia akhlaknya gaada tolol bangsat
638,nya aq nangi kalo lagu nya seiihh kalo nangi karna sake bagu nya lagu nya
639,definisi minat ketemu bakat ketemu kerja kera
640,vnagstn astaga si isyana keren banget musisi lokal selera musiknya kayak gini
641,mashaallah udh cantik pinter jago nyanyi dn mainin alat musik neng isyanasarasvati ngefan bener mah
642,gilaaaa gila gilaaaa tangan kaki ekspresi n emosi tertuang adi karya yg fantasti
643,gosh kali lihat isyana mainin alat musik kaya lihat jiwanya beda merind gila kaya kepribadiannya seriu bangett
644,sumpah allah bagu bangett kereennn merind ak nya dengerin samp abi aja amp netesin air mata
645,memutuskan fan isyana gila keren banget ya otak berdua berfungsi dg menjalankan perintah tangan kaki bersamaan
646,amz isyanaa jujur amaz banget skill minat isyana bermusik ga bernyanyi main alat musik jago banget
647,ngiri liat orang keren maen alat musik dalem banget nikmatin permainan
648,samp ga isyana sempurna org
649,inimah main alat musik olahraga jari kaki mah
