,cleaned_text
133,semangatt kesalahan belajar bahasa ase pembelajaran utamanya kesalahannya ga terulang
134,kereennnn bulli an netizen menjadikanmu belajar
135,hiiihhh jiik lihat nih orang auranya buruk bgt gak mani manisnya
136,semangat belajar ya uga gak bahasa inggri
137,niat keberanian
138,salut mel semangat belajar yg ngetawain berani
139,gpp mel semangat belajar trusssss gampang nyerah pokoknya rosameldianti
140,ngaku belagak pintar
141,kalo ngarep ikutan kont miss earth le inggri biar lidahnya gak keseleo
142,postingan ya bund netizen menghujat
143,happi birthday mel sehat suks yah aamiin
144,happi birthday kak meldi imut n ngegemesin suks
145,ya ampun ketiak lemaknya editan parah wkwk
146,ketiaknya habi ampla mel alu banget
147,udah diedit gitu ketiak lu hitam
148,selamat ulang mel udah yah tingkah
149,mukanya kune banget kaya kunyit
150,selamat ulang meldi suks sehat ya
151,fotonya cantik ihhh biar gak kena hujat ihh mah kasihan
152,hbd meldi semoga suks umur rejekinya lancarkan amin
153,perasaan kemarin lengannya kekar banget kek petinju udah gitu ketiaknya hitam difoto lengannya ketiaknya putih kek dibedakin
154,selamat ulang kak rosameldianti banyaknya sadar panso yah amin
155,hbd cantik semoga kedepannya suks
156,hbd mbak mel cantik panjangkan umurnya sehat
157,berdiri kaki
158,biar edit kaya aja ketiak hitam nya ga bohongin
159,sumpah apapun lengan nya gede banget
160,selamat ulang umur ketemu dajjal
161,ketiak hitam buluk lu edit nutupin daki diketek lu aka hitam ketiak lu dasar dugong rosameldianti
162,atm tinggal ribu aja gaya lu dugong
163,gak bagu nya suara polanya
164,si meldi jelek aja gaya beda banget sm tant n sepupunya udah cantik
165,dah berubah gak kayak gue lihat
166,ngedit ketiaknya dah ya amp ngeblur pisan putihnya kek cat tembok
167,aduh dugong aja gila filter
168,muka aja didempul ketiak
169,kasian kebelet arti gak bakat
170,peliharaannya lepa tolong diangkut
171,miri banget ultah didoain bulli kasian god bless u mel
172,mudah mudahan lu gembel amin ya allah
173,ketiaknya hitam dikasih bedak nya abu monyet
174,heran gua mah gasuka gausah follow dah tau ni akun privat kalo lu follow ngebuli tanda nya lu sirik gasuka ya gausah diliat kaya sempurna aja
175,gua berharap lu aja si yg sakit laura lol
176,lo aja menderitaaa lora anj
177,gaga sempet beneran lora lo tinggalin lo orang jahat ga lo gak bahagia ga
178,lu bener ga kalo sempet nyakitin lora gue santet
179,si gaga kek anj
180,semangat gaga liat kebelakang foku aja kedepan muda yg
181,gak cantiknya gila
182,meldi bersinar yaaa pertahanin karir jgn sia siain
183,semangat apapun dalah dimata pembenc
184,asli gak bebet bobo ni anak kasihan
185,kumat semedinya segini keluarnya
186,tangannya hitam beda ama muka
187,meldi foto gendut beda
188,gatau sih cantik gak aura nya cantik idih gitu lihatnya yaa
189,buruk nya buruk mata ga menyukai mu
190,gila ni siluman stori orang keliatan banget tumpukan lemaknya buriknya
191,dasar bego lu gua jijik lu bro kayak gak otak banget
192,lo lo bagu tuh anj wkwkw
193,maafin aaa semoga jera kedepannya
194,eh bocah mend lo mati aja gak orang kayak lo hahahahaha
195,btw video boong nya pa gak percaya lihat tribun news hujat ya
196,okay bro kalem aja semangat putu asa
197,lu mati ajalah udah biar gak bikin ribet
198,sampah masyarakat musnahkan
199,mati kau naji kontol bangsat mati kau
200,youtub toxic tutup akunmu tutup usia
201,ribet kayak udah aja lu
202,hitam diata putih langsung prose
203,sayang anaknya ya serahkan aja polisi biar didik
204,manusia hewan sih gak hati banget
205,manusia anj nyari uang gitu lo kerja aja gue nyebokin gue ntar gue gaji lo
206,maklum anak pendidikan kayak gitu gak akhlak
207,anj anak gak tau ibunya nangi
208,oi babi gue bunuh lu sumpah
209,heee sampah lu udah gua maafin boong goblok
210,anj lo baku hantam ayo
211,bangkit ya bang lemah pelajaran ujian lu bang
212,patah semngat kak suks
213,semangat ferdian gausah dengerin orang hujat manusia luput kesalahan
214,sumpah respect banget
215,menurutku pribadi tulu maafnya
216,dikasih bidadari maunya boneka santet
217,ilang respect gue jane udh setia bgt lu lu nya main cew pa udh dri penjara lol
218,hapu ajh ni poto ngk tau malu bgt lu bang
219,intinya gasuka ajg listi ngrusak suasana
220,foto anj kontol
221,kasian banget jane udah nunggu penjara eh taunya waw sakit siih
222,puni cewk selingkuhin g ngotak
223,inget yg potong nya hubungan nya kalo udah gini sembeleh aja orang nya udah terlanjur kecewa
224,konten putu foto tabi jessica engga dihapu
225,makan dibikin ama jess tpi ngehianatin gila sih
226,parah lu bang nama lu udh rusak karna narkoba nambah ajh truss
227,anj ya erick
228,muka pa an sok sok an sm lont lo anj
229,lu anjingnya anjingnya
230,ih babi jgn megang tuh anj harga dripada lo
